,,,,Monthly,,,,,,,,Annual,,,,,,,,Rankings,,,,
3149,NM,"Albuquerque, NM MSA",2p4c,1865,1474,1512,1751,1037,1933,1912,11484,22380,17693,18138,21011,12441,23197,22944,137804,84246.3295,1,76,20,90
3150,LA,"Alexandria, LA MSA",1p0c,710,333,1079,525,324,0,661,3631,8520,3995,12947,6294,3886,0,7928,43569,69718.17134,0,,,
3150,LA,"Alexandria, LA MSA",1p1c,1000,488,1302,824,462,733,843,5653,12000,5858,15629,9890,5544,8796,10117,67835,69718.17134,0,,,
3150,LA,"Alexandria, LA MSA",1p2c,1000,720,1429,1124,534,1399,1156,7362,12000,8639,17151,13486,6408,16789,13871,88343,69718.17134,0,,,
3150,LA,"Alexandria, LA MSA",1p3c,1354,959,1521,1424,718,1604,1638,9217,16248,11511,18249,17082,8618,19248,19650,110605,69718.17134,0,,,
3150,LA,"Alexandria, LA MSA",1p4c,1354,1174,1656,1496,785,1604,1917,9987,16248,14093,19871,17954,9420,19248,23007,119842,69718.17134,0,,,
3150,LA,"Alexandria, LA MSA",2p0c,762,610,1251,1049,426,0,762,4861,9144,7324,15017,12588,5113,0,9140,58326,69718.17134,0,,,
3150,LA,"Alexandria, LA MSA",2p1c,1000,757,1371,1349,546,733,979,6734,12000,9087,16449,16184,6547,8796,11747,80810,69718.17134,0,,,
3150,LA,"Alexandria, LA MSA",2p2c,1000,963,1456,1648,610,1399,1101,8177,12000,11556,17476,19780,7314,16789,13210,98125,69718.17134,0,,,
3150,LA,"Alexandria, LA MSA",2p3c,1354,1175,1587,1948,785,1604,1423,9876,16248,14098,19045,23376,9422,19248,17074,118510,69718.17134,0,,,
3150,LA,"Alexandria, LA MSA",2p4c,1354,1438,1640,2021,867,1604,1636,10559,16248,17256,19679,24248,10402,19248,19630,126711,69718.17134,0,,,
3151,PA,"Allentown-Bethlehem-Easton, PA HUD Metro FMR Area",1p0c,1033,371,1004,442,436,0,764,4049,12396,4448,12053,5298,5230,0,9167,48593,97987.39059,1,58,52,59
3151,PA,"Allentown-Bethlehem-Easton, PA HUD Metro FMR Area",1p1c,1507,544,1293,701,637,900,1114,6695,18084,6523,15514,8416,7640,10798,13368,80343,97987.39059,1,58,52,59
3151,PA,"Allentown-Bethlehem-Easton, PA HUD Metro FMR Area",1p2c,1507,802,1420,961,717,1781,1547,8734,18084,9619,17042,11534,8601,21367,18560,104807,97987.39059,1,58,52,59
3151,PA,"Allentown-Bethlehem-Easton, PA HUD Metro FMR Area",1p3c,1924,1068,1507,1221,929,2052,2090,10790,23088,12818,18080,14651,11148,24620,25075,129480,97987.39059,1,58,52,59
3151,PA,"Allentown-Bethlehem-Easton, PA HUD Metro FMR Area",1p4c,1924,1308,1568,1288,1003,2052,2309,11452,23088,15693,18812,15454,12041,24620,27713,137421,97987.39059,1,58,52,59
3151,PA,"Allentown-Bethlehem-Easton, PA HUD Metro FMR Area",2p0c,1213,680,1245,883,588,0,949,5558,14556,8156,14942,10597,7051,0,11393,66695,97987.39059,1,58,52,59
3151,PA,"Allentown-Bethlehem-Easton, PA HUD Metro FMR Area",2p1c,1507,843,1367,1143,730,900,1219,7708,18084,10119,16399,13715,8756,10798,14627,92498,97987.39059,1,58,52,59
3151,PA,"Allentown-Bethlehem-Easton, PA HUD Metro FMR Area",2p2c,1507,1072,1449,1403,801,1781,1450,9463,18084,12868,17385,16832,9610,21367,17403,113550,97987.39059,1,58,52,59
3151,PA,"Allentown-Bethlehem-Easton, PA HUD Metro FMR Area",2p3c,1924,1308,1506,1663,1004,2052,1848,11305,23088,15699,18077,19950,12042,24620,22178,135654,97987.39059,1,58,52,59
3151,PA,"Allentown-Bethlehem-Easton, PA HUD Metro FMR Area",2p4c,1924,1601,1617,1729,1095,2052,2126,12143,23088,19215,19404,20752,13134,24620,25508,145721,97987.39059,1,58,52,59
3152,NJ,"Warren County, NJ HUD Metro FMR Area",1p0c,1385,370,1155,487,545,0,946,4888,16620,4442,13855,5848,6539,0,11355,58660,118994,0,,,
3152,NJ,"Warren County, NJ HUD Metro FMR Area",1p1c,1686,543,1443,754,692,1408,1421,7947,20232,6514,17318,9050,8304,16895,17055,95367,118994,0,,,
3152,NJ,"Warren County, NJ HUD Metro FMR Area",1p2c,1686,801,1589,1021,772,2106,1882,9857,20232,9606,19068,12252,9264,25275,22582,118279,118994,0,,,
3152,NJ,"Warren County, NJ HUD Metro FMR Area",1p3c,2159,1067,1752,1288,1002,2321,2538,12126,25908,12800,21025,15453,12018,27854,30452,145511,118994,0,,,
3152,NJ,"Warren County, NJ HUD Metro FMR Area",1p4c,2159,1306,1822,1356,1076,2321,2775,12814,25908,15672,21858,16266,12909,27854,33296,153763,118994,0,,,
3152,NJ,"Warren County, NJ HUD Metro FMR Area",2p0c,1392,679,1391,975,643,0,974,6054,16704,8144,16690,11697,7715,0,11692,72642,118994,0,,,
3152,NJ,"Warren County, NJ HUD Metro FMR Area",2p1c,1686,842,1529,1242,785,1408,1432,8923,20232,10105,18349,14898,9419,16895,17181,107079,118994,0,,,
3152,NJ,"Warren County, NJ HUD Metro FMR Area",2p2c,1686,1071,1687,1508,856,2106,1793,10707,20232,12851,20238,18100,10271,25275,21517,128484,118994,0,,,
3152,NJ,"Warren County, NJ HUD Metro FMR Area",2p3c,2159,1306,1752,1775,1076,2321,2311,12700,25908,15677,21018,21302,12911,27854,27734,152404,118994,0,,,
3152,NJ,"Warren County, NJ HUD Metro FMR Area",2p4c,2159,1599,1802,1843,1167,2321,2578,13469,25908,19189,21626,22115,14001,27854,30932,161625,118994,0,,,
3153,PA,"Altoona, PA MSA",1p0c,728,339,1009,347,331,0,608,3363,8736,4073,12108,4166,3977,0,7291,40352,83069,0,,,
3153,PA,"Altoona, PA MSA",1p1c,1062,498,1222,551,484,864,789,5471,12744,5973,14668,6606,5811,10373,9473,65648,83069,0,,,
3153,PA,"Altoona, PA MSA",1p2c,1062,734,1341,754,558,1536,977,6961,12744,8808,16091,9046,6691,18426,11720,83527,83069,0,,,
3153,PA,"Altoona, PA MSA",1p3c,1337,978,1487,957,719,1742,1307,8527,16044,11737,17843,11486,8625,20904,15684,102322,83069,0,,,
3153,PA,"Altoona, PA MSA",1p4c,1337,1197,1550,1017,787,1742,1519,9149,16044,14369,18599,12205,9443,20904,18222,109787,83069,0,,,
3153,PA,"Altoona, PA MSA",2p0c,882,622,1172,694,467,0,724,4562,10584,7468,14068,8332,5604,0,8683,54739,83069,0,,,
3153,PA,"Altoona, PA MSA",2p1c,1062,772,1285,898,569,864,913,6363,12744,9265,15416,10772,6833,10373,10950,76353,83069,0,,,
3153,PA,"Altoona, PA MSA",2p2c,1062,982,1426,1101,635,1536,1008,7749,12744,11783,17111,13212,7615,18426,12097,92988,83069,0,,,
3153,PA,"Altoona, PA MSA",2p3c,1337,1198,1485,1304,787,1742,1156,9010,16044,14374,17823,15652,9444,20904,13876,108117,83069,0,,,
3153,PA,"Altoona, PA MSA",2p4c,1337,1466,1534,1364,870,1742,1342,9655,16044,17594,18402,16372,10444,20904,16103,115862,83069,0,,,
3154,TX,"Amarillo, TX HUD Metro FMR Area",1p0c,813,332,1054,497,356,0,551,3603,9756,3989,12651,5958,4268,0,6610,43232,85133.23392,0,,,
3154,TX,"Amarillo, TX HUD Metro FMR Area",1p1c,1158,488,1283,779,511,689,635,5543,13896,5850,15394,9353,6131,8273,7621,66517,85133.23392,0,,,
3154,TX,"Amarillo, TX HUD Metro FMR Area",1p2c,1158,719,1466,1062,583,1343,800,7132,13896,8627,17597,12747,6993,16121,9599,85579,85133.23392,0,,,
3154,TX,"Amarillo, TX HUD Metro FMR Area",1p3c,1592,958,1553,1345,792,1545,1178,8962,19104,11495,18630,16142,9500,18536,14139,107546,85133.23392,0,,,
3154,TX,"Amarillo, TX HUD Metro FMR Area",1p4c,1592,1173,1614,1416,858,1545,1364,9561,19104,14074,19362,16990,10301,18536,16369,114735,85133.23392,0,,,
3154,TX,"Amarillo, TX HUD Metro FMR Area",2p0c,952,610,1237,993,485,0,654,4930,11424,7314,14841,11916,5818,0,7849,59162,85133.23392,0,,,
3154,TX,"Amarillo, TX HUD Metro FMR Area",2p1c,1158,756,1415,1276,594,689,776,6665,13896,9075,16981,15311,7132,8273,9309,79976,85133.23392,0,,,
3154,TX,"Amarillo, TX HUD Metro FMR Area",2p2c,1158,962,1497,1559,658,1343,818,7995,13896,11540,17966,18705,7897,16121,9819,95945,85133.23392,0,,,
3154,TX,"Amarillo, TX HUD Metro FMR Area",2p3c,1592,1173,1555,1842,859,1545,1027,9592,19104,14079,18662,22100,10302,18536,12327,115109,85133.23392,0,,,
3154,TX,"Amarillo, TX HUD Metro FMR Area",2p4c,1592,1436,1602,1912,940,1545,1183,10210,19104,17232,19218,22948,11281,18536,14199,122518,85133.23392,0,,,
3155,TX,"Oldham County, TX HUD Metro FMR Area",1p0c,781,342,1317,497,349,0,608,3893,9372,4108,15798,5958,4185,0,7295,46717,82981,0,,,
3155,TX,"Oldham County, TX HUD Metro FMR Area",1p1c,1113,502,1596,779,501,689,707,5888,13356,6024,19148,9353,6017,8273,8485,70656,82981,0,,,
3155,TX,"Oldham County, TX HUD Metro FMR Area",1p2c,1113,740,1818,1062,575,1343,931,7583,13356,8883,21820,12747,6904,16121,11169,91001,82981,0,,,
3155,TX,"Oldham County, TX HUD Metro FMR Area",1p3c,1387,986,1924,1345,737,1545,1241,9166,16644,11836,23093,16142,8842,18536,14894,109987,82981,0,,,
3155,TX,"Oldham County, TX HUD Metro FMR Area",1p4c,1387,1208,2000,1416,806,1545,1438,9799,16644,14492,24001,16990,9667,18536,17258,117587,82981,0,,,
3155,TX,"Oldham County, TX HUD Metro FMR Area",2p0c,915,628,1523,993,479,0,718,5256,10980,7531,18280,11916,5747,0,8619,63073,82981,0,,,
3155,TX,"Oldham County, TX HUD Metro FMR Area",2p1c,1113,779,1737,1276,587,689,847,7029,13356,9344,20845,15311,7048,8273,10167,84345,82981,0,,,
3155,TX,"Oldham County, TX HUD Metro FMR Area",2p2c,1113,990,1837,1559,653,1343,901,8396,13356,11883,22038,18705,7836,16121,10814,100753,82981,0,,,
3155,TX,"Oldham County, TX HUD Metro FMR Area",2p3c,1387,1208,1907,1842,806,1545,1070,9764,16644,14496,22884,22100,9668,18536,12842,117171,82981,0,,,
3155,TX,"Oldham County, TX HUD Metro FMR Area",2p4c,1387,1479,1963,1912,890,1545,1235,10411,16644,17744,23559,22948,10676,18536,14820,124927,82981,0,,,
3156,IA,"Ames, IA HUD Metro FMR Area",1p0c,875,361,1064,395,384,0,745,3824,10500,4327,12773,4740,4603,0,8944,45887,116208,0,,,
3156,IA,"Ames, IA HUD Metro FMR Area",1p1c,1056,529,1337,617,492,744,916,5691,12672,6345,16045,7402,5904,8929,10991,68289,116208,0,,,
3156,IA,"Ames, IA HUD Metro FMR Area",1p2c,1056,780,1476,839,570,1339,1207,7267,12672,9357,17710,10064,6839,16072,14485,87199,116208,0,,,
3156,IA,"Ames, IA HUD Metro FMR Area",1p3c,1476,1039,1568,1061,781,1523,1746,9193,17712,12468,18815,12726,9370,18270,20951,110313,116208,0,,,
3156,IA,"Ames, IA HUD Metro FMR Area",1p4c,1476,1272,1699,1122,853,1523,2037,9981,17712,15265,20383,13461,10238,18270,24439,119769,116208,0,,,
3156,IA,"Ames, IA HUD Metro FMR Area",2p0c,951,661,1290,790,501,0,836,5028,11412,7933,15481,9481,6006,0,10029,60341,116208,0,,,
3156,IA,"Ames, IA HUD Metro FMR Area",2p1c,1056,820,1423,1012,583,744,1034,6672,12672,9843,17072,12143,6990,8929,12412,80061,116208,0,,,
3156,IA,"Ames, IA HUD Metro FMR Area",2p2c,1056,1043,1510,1234,652,1339,1156,7990,12672,12517,18123,14805,7821,16072,13866,95875,116208,0,,,
3156,IA,"Ames, IA HUD Metro FMR Area",2p3c,1476,1273,1638,1456,853,1523,1496,9714,17712,15270,19650,17467,10240,18270,17952,116562,116208,0,,,
3156,IA,"Ames, IA HUD Metro FMR Area",2p4c,1476,1558,1687,1517,942,1523,1730,10431,17712,18691,20244,18202,11302,18270,20754,125174,116208,0,,,
3157,IA,"Boone County, IA HUD Metro FMR Area",1p0c,714,341,1148,391,328,0,693,3614,8568,4096,13778,4689,3932,0,8310,43373,100723,0,,,
3157,IA,"Boone County, IA HUD Metro FMR Area",1p1c,930,501,1477,610,444,711,880,5553,11160,6007,17727,7320,5330,8530,10560,66633,100723,0,,,
3157,IA,"Boone County, IA HUD Metro FMR Area",1p2c,930,738,1624,829,518,1280,1135,7054,11160,8858,19490,9951,6215,15354,13624,84652,100723,0,,,
3157,IA,"Boone County, IA HUD Metro FMR Area",1p3c,1303,984,1724,1049,710,1455,1612,8836,15636,11803,20692,12582,8519,17454,19341,106028,100723,0,,,
3157,IA,"Boone County, IA HUD Metro FMR Area",1p4c,1303,1204,1796,1109,778,1455,1863,9509,15636,14451,21546,13313,9341,17454,22360,114102,100723,0,,,
3157,IA,"Boone County, IA HUD Metro FMR Area",2p0c,719,626,1418,782,418,0,761,4723,8628,7510,17018,9378,5010,0,9126,56670,100723,0,,,
3157,IA,"Boone County, IA HUD Metro FMR Area",2p1c,930,777,1556,1001,530,711,990,6494,11160,9318,18677,12009,6358,8530,11875,77928,100723,0,,,
3157,IA,"Boone County, IA HUD Metro FMR Area",2p2c,930,987,1650,1220,595,1280,1098,7760,11160,11849,19803,14640,7144,15354,13171,93121,100723,0,,,
3157,IA,"Boone County, IA HUD Metro FMR Area",2p3c,1303,1205,1717,1439,779,1455,1346,9242,15636,14456,20598,17271,9343,17454,16150,110908,100723,0,,,
3157,IA,"Boone County, IA HUD Metro FMR Area",2p4c,1303,1475,1769,1500,862,1455,1561,9925,15636,17694,21230,18002,10348,17454,18737,119101,100723,0,,,
3158,AK,"Anchorage, AK HUD Metro FMR Area",1p0c,1089,428,1104,727,471,0,752,4571,13068,5135,13252,8720,5651,0,9021,54848,119109,0,,,
3158,AK,"Anchorage, AK HUD Metro FMR Area",1p1c,1563,628,1350,1157,680,1469,1328,8175,18756,7530,16204,13886,8161,17627,15933,98096,119109,0,,,
3158,AK,"Anchorage, AK HUD Metro FMR Area",1p2c,1563,925,1475,1588,773,2089,1710,10122,18756,11103,17697,19051,9270,25067,20515,121461,119109,0,,,
3158,AK,"Anchorage, AK HUD Metro FMR Area",1p3c,2190,1233,1619,2018,1063,2280,2371,12773,26280,14795,19422,24217,12753,27357,28456,153280,119109,0,,,
3158,AK,"Anchorage, AK HUD Metro FMR Area",1p4c,2190,1510,1678,2114,1149,2280,2558,13478,26280,18114,20134,25369,13783,27357,30698,161735,119109,0,,,
3158,AK,"Anchorage, AK HUD Metro FMR Area",2p0c,1191,785,1295,1453,613,0,914,6251,14292,9414,15536,17441,7360,0,10967,75009,119109,0,,,
3158,AK,"Anchorage, AK HUD Metro FMR Area",2p1c,1563,973,1413,1884,788,1469,1382,9472,18756,11680,16951,22606,9450,17627,16589,113659,119109,0,,,
3158,AK,"Anchorage, AK HUD Metro FMR Area",2p2c,1563,1238,1552,2314,870,2089,1660,11285,18756,14854,18618,27772,10435,25067,19917,135419,119109,0,,,
3158,AK,"Anchorage, AK HUD Metro FMR Area",2p3c,2190,1510,1607,2745,1149,2280,2207,13687,26280,18121,19288,32937,13785,27357,26478,164245,119109,0,,,
3158,AK,"Anchorage, AK HUD Metro FMR Area",2p4c,2190,1848,1651,2841,1254,2280,2455,14518,26280,22179,19811,34089,15045,27357,29458,174220,119109,0,,,
3159,AK,"Matanuska-Susitna Borough, AK HUD Metro FMR Area",1p0c,1019,443,1322,760,454,0,818,4816,12228,5319,15864,9116,5448,0,9821,57796,106547,0,,,
3159,AK,"Matanuska-Susitna Borough, AK HUD Metro FMR Area",1p1c,1384,650,1594,1210,632,1172,1240,7882,16608,7800,19130,14519,7578,14062,14883,94580,106547,0,,,
3159,AK,"Matanuska-Susitna Borough, AK HUD Metro FMR Area",1p2c,1384,959,1735,1660,727,1994,1731,10190,16608,11503,20820,19922,8728,23931,20775,122285,106547,0,,,
3159,AK,"Matanuska-Susitna Borough, AK HUD Metro FMR Area",1p3c,1939,1277,1897,2110,999,2247,2396,12865,23268,15327,22760,25324,11983,26967,28749,154379,106547,0,,,
3159,AK,"Matanuska-Susitna Borough, AK HUD Metro FMR Area",1p4c,1939,1564,1965,2209,1088,2247,2591,13602,23268,18766,23581,26505,13050,26967,31091,163229,106547,0,,,
3159,AK,"Matanuska-Susitna Borough, AK HUD Metro FMR Area",2p0c,1055,813,1510,1519,580,0,948,6425,12660,9752,18120,18233,6958,0,11378,77101,106547,0,,,
3159,AK,"Matanuska-Susitna Borough, AK HUD Metro FMR Area",2p1c,1384,1008,1641,1970,743,1172,1322,9240,16608,12100,19695,23635,8913,14062,15861,110875,106547,0,,,
3159,AK,"Matanuska-Susitna Borough, AK HUD Metro FMR Area",2p2c,1384,1282,1796,2420,828,1994,1693,11398,16608,15388,21552,29038,9934,23931,20321,136771,106547,0,,,
3159,AK,"Matanuska-Susitna Borough, AK HUD Metro FMR Area",2p3c,1939,1564,1859,2870,1088,2247,2244,13811,23268,18772,22311,34440,13052,26967,26922,165734,106547,0,,,
3159,AK,"Matanuska-Susitna Borough, AK HUD Metro FMR Area",2p4c,1939,1915,1909,2969,1197,2247,2502,14677,23268,22977,22906,35622,14358,26967,30028,176126,106547,0,,,
3160,MI,"Ann Arbor, MI MSA",1p0c,1327,382,1028,410,531,0,795,4471,15924,4581,12334,4914,6366,0,9537,53656,122207,0,,,
3160,MI,"Ann Arbor, MI MSA",1p1c,1607,560,1281,640,673,1138,1323,7222,19284,6717,15371,7679,8073,13655,15879,86659,122207,0,,,
3160,MI,"Ann Arbor, MI MSA",1p2c,1607,826,1409,870,755,2180,1871,9517,19284,9906,16907,10445,9063,26154,22448,114206,122207,0,,,
